case,backend,step,n_seeds,mean_reward,ci95_lower,ci95_upper
b300-tp1,triton,1,4,0.48828125,0.466600368846806,0.509962131153194
b300-tp1,triton,2,4,0.50830078125,0.47220188446975925,0.5443996780302407
b300-tp1,triton,3,4,0.53076171875,0.5123972860614614,0.5491261514385386
b300-tp1,triton,4,4,0.55419921875,0.48054998489062745,0.6278484526093725
b300-tp1,triton,5,4,0.69482421875,0.6310121469846789,0.7586362905153211
b300-tp1,triton,6,4,0.6826171875,0.6512806923738442,0.7139536826261558
b300-tp1,triton,7,4,0.7060546875,0.68371555263756,0.72839382236244
b300-tp1,triton,8,4,0.72607421875,0.7095557283855642,0.7425927091144358
b300-tp1,triton,9,4,0.76708984375,0.7074505480585918,0.8267291394414082
b300-tp1,triton,10,4,0.77001953125,0.7124122774222469,0.8276267850777531
b300-tp1,triton,11,4,0.79248046875,0.7607483434806188,0.8242125940193812
b300-tp1,triton,12,4,0.8876953125,0.8582662355267384,0.9171243894732616
b300-tp1,triton,13,4,0.8662109375,0.835497083812121,0.896924791187879
b300-tp1,triton,14,4,0.79248046875,0.769033815697951,0.815927121802049
b300-tp1,triton,15,4,0.83984375,0.8099264153874127,0.8697610846125873
b300-tp1,triton,16,4,0.89453125,0.8878175099963705,0.9012449900036295
b300-tp1,triton,17,4,0.88330078125,0.8609796690890518,0.9056218934109482
b300-tp1,triton,18,4,0.880859375,0.8597808584023321,0.9019378915976679
b300-tp1,triton,19,4,0.8203125,0.7910479857909726,0.8495770142090274
b300-tp1,triton,20,4,0.8974609375,0.8738603098801887,0.9210615651198113
b300-tp1,triton,21,4,0.8896484375,0.8717951541309124,0.9075017208690876
b300-tp1,triton,22,4,0.876953125,0.83991872606731,0.91398752393269
b300-tp1,triton,23,4,0.859375,0.8517623343928216,0.8669876656071784
b300-tp1,triton,24,4,0.9013671875,0.8904527498829705,0.9122816251170295
b300-tp1,triton,25,4,0.86279296875,0.8472796005827062,0.8783063369172938
b300-tp1,triton,26,4,0.90576171875,0.8837309748839556,0.9277924626160444
b300-tp1,triton,27,4,0.9267578125,0.9208067180436375,0.9327089069563625
b300-tp1,triton,28,4,0.90234375,0.8812652334023321,0.9234222665976679
b300-tp1,triton,29,4,0.8759765625,0.8432332496489114,0.9087198753510886
b300-tp1,triton,30,4,0.90771484375,0.8922014755827062,0.9232282119172938
b300-tp1,triton,31,4,0.90478515625,0.8671150659389335,0.9424552465610665
b300-tp1,triton,32,4,0.93115234375,0.9140591262899801,0.9482455612100199
b300-tp1,triton,33,4,0.8642578125,0.8423553152180299,0.8861603097819701
b300-tp1,triton,34,4,0.90966796875,0.8827680882245532,0.9365678492754468
b300-tp1,triton,35,4,0.845703125,0.8274045542069047,0.8640016957930953
b300-tp1,triton,36,4,0.9013671875,0.8682328958660293,0.9345014791339707
b300-tp1,triton,37,4,0.92578125,0.9147203033091139,0.9368421966908861
b300-tp1,triton,38,4,0.90869140625,0.868060796918724,0.949322015581276
b300-tp1,triton,39,4,0.89990234375,0.884597919373735,0.915206768126265
b300-tp1,triton,40,4,0.91259765625,0.8938858749135733,0.9313094375864267
b300-tp1,triton,41,4,0.85400390625,0.8154051141121492,0.8926026983878508
b300-tp1,triton,42,4,0.92529296875,0.9147155936602063,0.9358703438397937
b300-tp1,triton,43,4,0.8984375,0.8817976377582866,0.9150773622417134
b300-tp1,triton,44,4,0.849609375,0.8276335023122248,0.8715852476877752
b300-tp1,triton,45,4,0.94384765625,0.9176757542585099,0.9700195582414901
b300-tp1,triton,46,4,0.89501953125,0.8822369511101489,0.9078021113898511
b300-tp1,triton,47,4,0.91796875,0.9154311947976072,0.9205063052023928
b300-tp1,triton,48,4,0.9501953125,0.9290405623204125,0.9713500626795875
