case,seed,backend,step,reward,entropy,grad_norm,actor_update_ms_per_token,actor_update_seconds,whole_step_throughput
b300-tp1,42,triton,1,0.484375,0.21035896241664886,0.059437308460474014,0.020323997884457427,11.893562913988717,583.5025721021979
b300-tp1,42,triton,2,0.49609375,0.20852474868297577,0.0833728238940239,0.010354163393965256,6.015582556952722,928.6928024420615
b300-tp1,42,triton,3,0.544921875,0.2114141881465912,0.06680183112621307,0.009167308305710286,5.486010644002818,891.236793675242
b300-tp1,42,triton,4,0.55078125,0.21254217624664307,0.08107748627662659,0.009094718481130512,5.261467440985143,933.5498670623514
b300-tp1,42,triton,5,0.69140625,0.2051575779914856,0.06999978423118591,0.012615953659718767,6.597348958952352,895.314958174023
b300-tp1,42,triton,6,0.708984375,0.21392561495304108,0.03177943080663681,0.01050676445075054,5.198400327004492,885.0400406491074
b300-tp1,42,triton,7,0.6953125,0.24811911582946777,0.07029163092374802,0.009601734023034042,5.3813014349434525,880.059570073693
b300-tp1,42,triton,8,0.7265625,0.24846017360687256,0.06614389270544052,0.011781599733296219,6.448481890023686,843.2184649080641
b300-tp1,42,triton,9,0.771484375,0.22667241096496582,0.06460846215486526,0.009807322011439404,5.35987801104784,901.9511599347446
b300-tp1,42,triton,10,0.787109375,0.24216611683368683,0.06400219351053238,0.011566820196932753,6.2437232750235125,881.7603640483983
b300-tp1,42,triton,11,0.806640625,0.26773393154144287,0.05930048227310181,0.010772222851898666,5.709881355985999,856.331522722261
b300-tp1,42,triton,12,0.884765625,0.24221307039260864,0.05851985886693001,0.010364919740510991,5.034635384916328,852.4762845090052
b300-tp1,42,triton,13,0.845703125,0.25047168135643005,0.1158459484577179,0.011080338255552569,5.801088933018036,843.4304531825543
b300-tp1,42,triton,14,0.802734375,0.27374523878097534,0.0527317114174366,0.009830166200762049,5.179681684006937,887.4619103884208
b300-tp1,42,triton,15,0.85546875,0.27086108922958374,0.04663557931780815,0.010826096273906322,5.661128133069724,856.0791405367075
b300-tp1,42,triton,16,0.900390625,0.24529588222503662,0.05446987226605415,0.012024351809071517,5.555839729029685,813.5584939297659
b300-tp1,42,triton,17,0.904296875,0.2590784728527069,0.02440677210688591,0.010926346080971134,5.007926831021905,874.1904900774922
b300-tp1,42,triton,18,0.890625,0.26041364669799805,0.04583514854311943,0.011694563989456171,5.610841299989261,843.9390835704422
b300-tp1,42,triton,19,0.841796875,0.26887574791908264,0.04702598601579666,0.011816537939536716,5.642349599977024,818.2903862429329
b300-tp1,42,triton,20,0.90234375,0.27273547649383545,0.06586898863315582,0.011972790976905085,5.536829160060734,881.32920383885
b300-tp1,42,triton,21,0.892578125,0.271512895822525,0.0483437143266201,0.013583725224735681,6.039419320994057,858.9026499197263
b300-tp1,42,triton,22,0.900390625,0.27582111954689026,0.07118569314479828,0.012501143020714908,5.81263146805577,821.0982806065416
b300-tp1,42,triton,23,0.86328125,0.2668437957763672,0.028397727757692337,0.01308837800671772,5.610830590943806,808.4016770217706
b300-tp1,42,triton,24,0.896484375,0.29837653040885925,0.042665593326091766,0.012729918537167654,5.953286433010362,821.3990705656491
b300-tp1,42,triton,25,0.85546875,0.310970664024353,0.05783659592270851,0.01142490584069801,5.6501300589879975,853.847657603143
b300-tp1,42,triton,26,0.896484375,0.27724677324295044,0.04000212252140045,0.01222167252582628,5.474991528084502,851.3170229424547
b300-tp1,42,triton,27,0.9296875,0.27145203948020935,0.061404790729284286,0.012468445522343675,5.407003742991947,769.3336401985465
b300-tp1,42,triton,28,0.921875,0.3077048361301422,0.04097659885883331,0.012296957434663703,5.398880786029622,812.7152415196525
b300-tp1,42,triton,29,0.865234375,0.3113733232021332,0.03379853442311287,0.013469867375771447,6.074762017931789,784.7633677778084
b300-tp1,42,triton,30,0.921875,0.2999163866043091,0.05494067817926407,0.011286896067718568,4.879776645917445,776.1887294363617
b300-tp1,42,triton,31,0.875,0.3081582188606262,0.04831448197364807,0.013899429006641546,5.8514372209319845,774.6483697311531
b300-tp1,42,triton,32,0.94140625,0.30398115515708923,0.06149642914533615,0.014741278063421145,6.011109921033494,790.3845875243433
b300-tp1,42,triton,33,0.845703125,0.3368455767631531,0.058644600212574005,0.010462354601660577,5.19300016888883,869.9179188270921
b300-tp1,42,triton,34,0.931640625,0.3019930422306061,0.066494420170784,0.014503209239221436,5.851899895933457,780.9045366406663
b300-tp1,42,triton,35,0.845703125,0.3393559157848358,0.02696811966598034,0.010760122758348022,5.054675266961567,862.8699582226604
b300-tp1,42,triton,36,0.873046875,0.34752774238586426,0.06275629997253418,0.012337597098052945,5.4902183710364625,822.8921855518902
b300-tp1,42,triton,37,0.9296875,0.29069986939430237,0.004844999872148037,0.013437125883982408,5.247654519975185,742.658438307695
b300-tp1,42,triton,38,0.908203125,0.33006080985069275,0.034696660935878754,0.011902090309230158,4.935761144966818,842.2519936787762
b300-tp1,42,triton,39,0.9140625,0.3280934691429138,0.050121091306209564,0.012736552918827884,5.516748740919866,817.9326484662291
b300-tp1,42,triton,40,0.91796875,0.331320196390152,0.04292125254869461,0.01338065254212079,5.469288203981705,773.9429323052639
b300-tp1,42,triton,41,0.875,0.33420923352241516,0.046820346266031265,0.012124532303200352,4.949367456021719,757.9604667762313
b300-tp1,42,triton,42,0.916015625,0.36035749316215515,0.025222335010766983,0.012614831191115825,5.383669351926073,795.7156656484897
b300-tp1,42,triton,43,0.890625,0.36508119106292725,0.05805299058556557,0.012218592280358504,5.495104162022471,800.5061469921739
b300-tp1,42,triton,44,0.849609375,0.35065895318984985,0.05108515918254852,0.012450281242315892,5.4965999639825895,817.2537388345607
b300-tp1,42,triton,45,0.951171875,0.34018632769584656,0.04464700445532799,0.013338797190527689,5.228848515078425,796.6528964958421
b300-tp1,42,triton,46,0.884765625,0.3555918037891388,0.04417237639427185,0.011896119858320767,4.85498495597858,771.0804254030502
b300-tp1,42,triton,47,0.916015625,0.3535919487476349,0.04086419194936752,0.012782399186745367,5.413039278006181,828.9882882000511
b300-tp1,42,triton,48,0.955078125,0.3395363986492157,0.032961152493953705,0.014011415061226594,5.328919455991127,736.5645054227816
b300-tp1,42,triton,49,0.955078125,0.34975191950798035,0.02913087233901024,0.012059410253716919,4.852381082018837,802.0066318107054
b300-tp1,42,triton,50,0.923828125,0.3754935562610626,0.04853353649377823,0.012380552105395643,5.348881351063028,788.3463704653925
b300-tp1,42,triton,51,0.92578125,0.3649771213531494,0.04266834259033203,0.012436552285723587,5.124518678989261,800.0139234342322
b300-tp1,42,triton,52,0.935546875,0.3849112391471863,0.06115730479359627,0.014245929891206826,6.0209425470093265,791.7963823675876
b300-tp1,42,triton,53,0.9140625,0.3941757380962372,0.06173747405409813,0.013242290435181738,5.585664317011833,823.0919404033782
b300-tp1,42,triton,54,0.953125,0.3337172865867615,0.03607018291950226,0.013014738526345293,4.86113498697523,763.5374799727017
b300-tp1,42,triton,55,0.89453125,0.3997894823551178,0.056726813316345215,0.013756167126688975,5.7792134209303185,798.4772822483378
b300-tp1,42,triton,56,0.953125,0.3639306128025055,0.03608781844377518,0.014872713697323932,5.7371344360290095,753.4621515838372
b300-tp1,42,triton,57,0.958984375,0.3832397162914276,0.04594295471906662,0.013555502198626387,5.385777245042846,784.1079816804153
b300-tp1,42,triton,58,0.88671875,0.41958653926849365,0.06220768019556999,0.013496624279423886,5.792346242000349,777.5515401113869
b300-tp1,42,triton,59,0.94921875,0.4024600386619568,0.03889711573719978,0.011830070524776146,4.886197688989341,763.955994157169
b300-tp1,42,triton,60,0.90625,0.4141722619533539,0.049840204417705536,0.012943673159238379,5.371391374967061,837.5576304514813
b300-tp1,42,triton,61,0.904296875,0.4046686291694641,0.03916729614138603,0.013094929504528927,5.804877489921637,786.8605296840642
b300-tp1,42,triton,62,0.8984375,0.4376288056373596,0.03595515340566635,0.011864869909335142,5.0953327879542485,792.4192725323741
b300-tp1,42,triton,63,0.923828125,0.4175681173801422,0.04585762321949005,0.013486122929556227,5.1966751790605485,762.467309285568
b300-tp1,42,triton,64,0.923828125,0.42569735646247864,0.04826122149825096,0.013989895301154269,5.477099969983101,764.8695254781172
b300-tp1,42,triton,65,0.943359375,0.41952675580978394,0.01414626557379961,0.014035595404307212,5.163148161023855,749.0151023849744
b300-tp1,42,triton,66,0.923828125,0.4788445234298706,0.03601459786295891,0.01468680898723431,5.950757205020636,733.4178779080221
b300-tp1,42,triton,67,0.939453125,0.4248983860015869,0.05538734048604965,0.013465215069933775,5.081247024005279,767.5346343946812
b300-tp1,42,triton,68,0.919921875,0.4718850255012512,0.012400785461068153,0.012675582641854628,5.377184965997003,797.3170328247558
b300-tp1,42,triton,69,0.91796875,0.4879630208015442,0.07143881916999817,0.013271659130364277,5.4773331680335104,800.2025287015842
b300-tp1,42,triton,70,0.923828125,0.4748533070087433,0.03874872997403145,0.013250929296899527,5.373980631004088,769.8321189964505
b300-tp1,42,triton,71,0.9609375,0.4477200508117676,0.0311474297195673,0.01375634401370003,5.381275432999246,838.2277792458408
b300-tp1,42,triton,72,0.9140625,0.48866868019104004,0.04444446787238121,0.013403509167704683,5.411867879098281,765.780289520736
b300-tp1,42,triton,73,0.884765625,0.5218362212181091,0.03494899719953537,0.012229332995912773,5.48560183797963,830.8869787690751
b300-tp1,42,triton,74,0.927734375,0.4800562560558319,0.057685673236846924,0.013485332550151417,5.470041956985369,756.6257576333454
b300-tp1,42,triton,75,0.935546875,0.5035654306411743,0.05297837778925896,0.012483828950253165,4.7953882470028475,758.3686873313278
b300-tp1,42,triton,76,0.953125,0.5073503255844116,0.006126792170107365,0.014857362497987381,5.691855572978966,743.4718729916383
b300-tp1,42,triton,77,0.90234375,0.5102697014808655,0.04135410487651825,0.012943930988449068,5.209906334988773,795.9490475636389
b300-tp1,42,triton,78,0.931640625,0.523830235004425,0.0685647502541542,0.012506962392589567,4.879753967979923,799.067905535636
b300-tp1,42,triton,79,0.92578125,0.5518246293067932,0.06772472709417343,0.013572332618884025,5.4522503149928525,755.8299498021565
b300-tp1,42,triton,80,0.890625,0.5954821109771729,0.04290486499667168,0.011224689301000634,5.002608302980661,831.3201646623733
b300-tp1,42,triton,81,0.93359375,0.546162486076355,0.03186176344752312,0.012268660590303359,4.784532257006504,822.6023330686814
b300-tp1,42,triton,82,0.91796875,0.5955187082290649,0.0250187236815691,0.01294227530797889,5.470013832091354,761.4339545325474
b300-tp1,42,triton,83,0.91796875,0.5977282524108887,0.04483051598072052,0.01112835476368182,4.980606458033435,832.341378957594
b300-tp1,42,triton,84,0.96484375,0.5753207206726074,0.06346917897462845,0.014543392328297081,5.957060758024454,778.7843970163509
b300-tp1,42,triton,85,0.935546875,0.5654243230819702,0.05402727052569389,0.012103644873166411,4.951625324902125,750.4203046898247
b300-tp1,42,triton,86,0.9140625,0.538452684879303,0.007930925115942955,0.012724304899366755,4.926723613985814,815.3166871115512
b300-tp1,42,triton,87,0.927734375,0.4333060085773468,0.06013674661517143,0.015096693864140719,5.837559389998205,744.0802115546268
b300-tp1,42,triton,88,0.9296875,0.37631955742836,0.0414741076529026,0.012682976793672007,4.812213103985414,769.0574104687588
b300-tp1,42,triton,89,0.955078125,0.36688053607940674,0.052587784826755524,0.014799110322831087,5.226379806059413,746.0478821483792
b300-tp1,42,triton,90,0.9375,0.3632946014404297,0.04904158040881157,0.017429133657326762,6.253799734986387,693.4079177404676
b300-tp1,42,triton,91,0.921875,0.3739486336708069,0.05138370022177696,0.012929600486356033,4.822236726991832,744.4079074870434
b300-tp1,42,triton,92,0.923828125,0.39158177375793457,0.07455673813819885,0.01639271613773748,6.167923373985104,750.1102704916972
b300-tp1,42,triton,93,0.90234375,0.4272058606147766,0.05980108305811882,0.014057898475957393,5.331317418022081,737.5491962001481
b300-tp1,42,triton,94,0.93359375,0.4290831983089447,0.06764856725931168,0.0142578784571397,5.252802033908665,730.6479641368866
b300-tp1,42,triton,95,0.953125,0.45082974433898926,0.05762042850255966,0.014181702689089425,5.2132648170227185,732.5029185106436
b300-tp1,42,triton,96,0.93359375,0.45049741864204407,0.0498259961605072,0.014735900869951923,5.011517790961079,770.6155459548723
b300-tp1,42,triton,97,0.931640625,0.5268887877464294,0.028195926919579506,0.014483371679480085,5.641968470998108,735.8132576622281
b300-tp1,42,triton,98,0.916015625,0.5289459824562073,0.04928697273135185,0.013908235765764745,5.347605386050418,729.7367334271412
b300-tp1,42,triton,99,0.927734375,0.5303279757499695,0.05640067905187607,0.012519606473148035,4.869651173008606,761.9619083330488
b300-tp1,42,triton,100,0.935546875,0.5841483473777771,0.027543481439352036,0.01318429382127263,5.262972329044715,760.3930504225747
b300-tp1,42,liger_tp,1,0.501953125,0.21529696881771088,0.0615207739174366,0.027933168966497487,16.283138051978312,625.3824068715368
b300-tp1,42,liger_tp,2,0.515625,0.20858746767044067,0.07011730223894119,0.010011423945505816,5.847092063981108,911.3673397755525
b300-tp1,42,liger_tp,3,0.513671875,0.21505284309387207,0.0799633264541626,0.008846742773455821,5.349183017970063,900.7251706446935
b300-tp1,42,liger_tp,4,0.560546875,0.20952309668064117,0.07140451669692993,0.009010956910433602,5.22761654201895,914.2621104874639
b300-tp1,42,liger_tp,5,0.662109375,0.2013687789440155,0.07638541609048843,0.012293978545421948,6.337681173929013,863.9436718732258
b300-tp1,42,liger_tp,6,0.6953125,0.20502869784832,0.060733016580343246,0.010084384240972617,4.957301773945801,853.3925892474912
b300-tp1,42,liger_tp,7,0.701171875,0.2360266149044037,0.06214602291584015,0.00999712363138682,5.628830475034192,906.8932077844748
b300-tp1,42,liger_tp,8,0.716796875,0.23188576102256775,0.08385180681943893,0.010555677694888684,5.7161528080469,881.4248742908173
b300-tp1,42,liger_tp,9,0.771484375,0.21088972687721252,0.062060531228780746,0.009551566214089601,5.11707967100665,868.1906301890992
b300-tp1,42,liger_tp,10,0.7734375,0.234885573387146,0.04767994582653046,0.00994455097419489,5.411983752972446,914.0382889194034
b300-tp1,42,liger_tp,11,0.736328125,0.2577190399169922,0.052604492753744125,0.011212221358488487,6.163728084065951,864.4313165531878
b300-tp1,42,liger_tp,12,0.892578125,0.22952915728092194,0.06493432074785233,0.009957886714484802,4.9869694139342755,882.0555810379709
b300-tp1,42,liger_tp,13,0.849609375,0.23964151740074158,0.06514112651348114,0.010799413337729281,5.7445643349783495,849.2902155597691
